raceId;year;round;name;date;time;url;circuitId
48;2007;13;Italian Grand Prix;2007-09-09;12:00:00;http://en.wikipedia.org/wiki/2007_Italian_Grand_Prix;14
49;2007;14;Belgian Grand Prix;2007-09-16;12:00:00;http://en.wikipedia.org/wiki/2007_Belgian_Grand_Prix;13
50;2007;15;Japanese Grand Prix;2007-09-30;04:30:00;http://en.wikipedia.org/wiki/2007_Japanese_Grand_Prix;16
51;2007;16;Chinese Grand Prix;2007-10-07;06:00:00;http://en.wikipedia.org/wiki/2007_Chinese_Grand_Prix;17
52;2007;17;Brazilian Grand Prix;2007-10-21;16:00:00;http://en.wikipedia.org/wiki/2007_Brazilian_Grand_Prix;18
53;2006;1;Bahrain Grand Prix;2006-03-12;14:30:00;http://en.wikipedia.org/wiki/2006_Bahrain_Grand_Prix;3
54;2006;2;Malaysian Grand Prix;2006-03-19;15:00:00;http://en.wikipedia.org/wiki/2006_Malaysian_Grand_Prix;2
55;2006;3;Australian Grand Prix;2006-04-02;14:00:00;http://en.wikipedia.org/wiki/2006_Australian_Grand_Prix;1
56;2006;4;San Marino Grand Prix;2006-04-23;14:00:00;http://en.wikipedia.org/wiki/2006_San_Marino_Grand_Prix;21
57;2006;5;European Grand Prix;2006-05-07;14:00:00;http://en.wikipedia.org/wiki/2006_European_Grand_Prix;20
58;2006;6;Spanish Grand Prix;2006-05-14;14:00:00;http://en.wikipedia.org/wiki/2006_Spanish_Grand_Prix;4
59;2006;7;Monaco Grand Prix;2006-05-28;14:00:00;http://en.wikipedia.org/wiki/2006_Monaco_Grand_Prix;6
60;2006;8;British Grand Prix;2006-06-11;12:00:00;http://en.wikipedia.org/wiki/2006_British_Grand_Prix;9
61;2006;9;Canadian Grand Prix;2006-06-25;13:00:00;http://en.wikipedia.org/wiki/2006_Canadian_Grand_Prix;7
62;2006;10;United States Grand Prix;2006-07-02;14:00:00;http://en.wikipedia.org/wiki/2006_United_States_Grand_Prix;19
63;2006;11;French Grand Prix;2006-07-16;14:00:00;http://en.wikipedia.org/wiki/2006_French_Grand_Prix;8
64;2006;12;German Grand Prix;2006-07-30;14:00:00;http://en.wikipedia.org/wiki/2006_German_Grand_Prix;10
65;2006;13;Hungarian Grand Prix;2006-08-06;14:00:00;http://en.wikipedia.org/wiki/2006_Hungarian_Grand_Prix;11
66;2006;14;Turkish Grand Prix;2006-08-27;15:00:00;http://en.wikipedia.org/wiki/2006_Turkish_Grand_Prix;5
67;2006;15;Italian Grand Prix;2006-09-10;14:00:00;http://en.wikipedia.org/wiki/2006_Italian_Grand_Prix;14
68;2006;16;Chinese Grand Prix;2006-10-01;14:00:00;http://en.wikipedia.org/wiki/2006_Chinese_Grand_Prix;17
69;2006;17;Japanese Grand Prix;2006-10-08;14:00:00;http://en.wikipedia.org/wiki/2006_Japanese_Grand_Prix;22
70;2006;18;Brazilian Grand Prix;2006-10-22;14:00:00;http://en.wikipedia.org/wiki/2006_Brazilian_Grand_Prix;18
71;2005;1;Australian Grand Prix;2005-03-06;14:00:00;http://en.wikipedia.org/wiki/2005_Australian_Grand_Prix;1
72;2005;2;Malaysian Grand Prix;2005-03-20;15:00:00;http://en.wikipedia.org/wiki/2005_Malaysian_Grand_Prix;2
73;2005;3;Bahrain Grand Prix;2005-04-03;14:30:00;http://en.wikipedia.org/wiki/2005_Bahrain_Grand_Prix;3
74;2005;4;San Marino Grand Prix;2005-04-24;14:00:00;http://en.wikipedia.org/wiki/2005_San_Marino_Grand_Prix;21
75;2005;5;Spanish Grand Prix;2005-05-08;14:00:00;http://en.wikipedia.org/wiki/2005_Spanish_Grand_Prix;4
76;2005;6;Monaco Grand Prix;2005-05-22;14:00:00;http://en.wikipedia.org/wiki/2005_Monaco_Grand_Prix;6
77;2005;7;European Grand Prix;2005-05-29;14:00:00;http://en.wikipedia.org/wiki/2005_European_Grand_Prix;20
78;2005;8;Canadian Grand Prix;2005-06-12;13:00:00;http://en.wikipedia.org/wiki/2005_Canadian_Grand_Prix;7
79;2005;9;United States Grand Prix;2005-06-19;14:00:00;http://en.wikipedia.org/wiki/2005_United_States_Grand_Prix;19
80;2005;10;French Grand Prix;2005-07-03;14:00:00;http://en.wikipedia.org/wiki/2005_French_Grand_Prix;8
81;2005;11;British Grand Prix;2005-07-10;14:00:00;http://en.wikipedia.org/wiki/2005_British_Grand_Prix;9
82;2005;12;German Grand Prix;2005-07-24;14:00:00;http://en.wikipedia.org/wiki/2005_German_Grand_Prix;10
83;2005;13;Hungarian Grand Prix;2005-07-31;14:00:00;http://en.wikipedia.org/wiki/2005_Hungarian_Grand_Prix;11
84;2005;14;Turkish Grand Prix;2005-08-21;15:00:00;http://en.wikipedia.org/wiki/2005_Turkish_Grand_Prix;5
85;2005;15;Italian Grand Prix;2005-09-04;14:00:00;http://en.wikipedia.org/wiki/2005_Italian_Grand_Prix;14
86;2005;16;Belgian Grand Prix;2005-09-11;14:00:00;http://en.wikipedia.org/wiki/2005_Belgian_Grand_Prix;13
87;2005;17;Brazilian Grand Prix;2005-09-25;14:00:00;http://en.wikipedia.org/wiki/2005_Brazilian_Grand_Prix;18
88;2005;18;Japanese Grand Prix;2005-10-09;14:00:00;http://en.wikipedia.org/wiki/2005_Japanese_Grand_Prix;22
89;2005;19;Chinese Grand Prix;2005-10-16;14:00:00;http://en.wikipedia.org/wiki/2005_Chinese_Grand_Prix;17
90;2004;1;Australian Grand Prix;2004-03-07;\N;http://en.wikipedia.org/wiki/2004_Australian_Grand_Prix;1
91;2004;2;Malaysian Grand Prix;2004-03-21;\N;http://en.wikipedia.org/wiki/2004_Malaysian_Grand_Prix;2
92;2004;3;Bahrain Grand Prix;2004-04-04;\N;http://en.wikipedia.org/wiki/2004_Bahrain_Grand_Prix;3
93;2004;4;San Marino Grand Prix;2004-04-25;\N;http://en.wikipedia.org/wiki/2004_San_Marino_Grand_Prix;21
94;2004;5;Spanish Grand Prix;2004-05-09;\N;http://en.wikipedia.org/wiki/2004_Spanish_Grand_Prix;4
95;2004;6;Monaco Grand Prix;2004-05-23;\N;http://en.wikipedia.org/wiki/2004_Monaco_Grand_Prix;6
96;2004;7;European Grand Prix;2004-05-30;\N;http://en.wikipedia.org/wiki/2004_European_Grand_Prix;20
97;2004;8;Canadian Grand Prix;2004-06-13;\N;http://en.wikipedia.org/wiki/2004_Canadian_Grand_Prix;7
98;2004;9;United States Grand Prix;2004-06-20;\N;http://en.wikipedia.org/wiki/2004_United_States_Grand_Prix;19
99;2004;10;French Grand Prix;2004-07-04;\N;http://en.wikipedia.org/wiki/2004_French_Grand_Prix;8
100;2004;11;British Grand Prix;2004-07-11;\N;http://en.wikipedia.org/wiki/2004_British_Grand_Prix;9
101;2004;12;German Grand Prix;2004-07-25;\N;http://en.wikipedia.org/wiki/2004_German_Grand_Prix;10
102;2004;13;Hungarian Grand Prix;2004-08-15;\N;http://en.wikipedia.org/wiki/2004_Hungarian_Grand_Prix;11
103;2004;14;Belgian Grand Prix;2004-08-29;\N;http://en.wikipedia.org/wiki/2004_Belgian_Grand_Prix;13
104;2004;15;Italian Grand Prix;2004-09-12;\N;http://en.wikipedia.org/wiki/2004_Italian_Grand_Prix;14
105;2004;16;Chinese Grand Prix;2004-09-26;\N;http://en.wikipedia.org/wiki/2004_Chinese_Grand_Prix;17
106;2004;17;Japanese Grand Prix;2004-10-10;\N;http://en.wikipedia.org/wiki/2004_Japanese_Grand_Prix;22
107;2004;18;Brazilian Grand Prix;2004-10-24;\N;http://en.wikipedia.org/wiki/2004_Brazilian_Grand_Prix;18
108;2003;1;Australian Grand Prix;2003-03-09;\N;http://en.wikipedia.org/wiki/2003_Australian_Grand_Prix;1
109;2003;2;Malaysian Grand Prix;2003-03-23;\N;http://en.wikipedia.org/wiki/2003_Malaysian_Grand_Prix;2
110;2003;3;Brazilian Grand Prix;2003-04-06;\N;http://en.wikipedia.org/wiki/2003_Brazilian_Grand_Prix;18
111;2003;4;San Marino Grand Prix;2003-04-20;\N;http://en.wikipedia.org/wiki/2003_San_Marino_Grand_Prix;21
112;2003;5;Spanish Grand Prix;2003-05-04;\N;http://en.wikipedia.org/wiki/2003_Spanish_Grand_Prix;4
113;2003;6;Austrian Grand Prix;2003-05-18;\N;http://en.wikipedia.org/wiki/2003_Austrian_Grand_Prix;70
114;2003;7;Monaco Grand Prix;2003-06-01;\N;http://en.wikipedia.org/wiki/2003_Monaco_Grand_Prix;6
115;2003;8;Canadian Grand Prix;2003-06-15;\N;http://en.wikipedia.org/wiki/2003_Canadian_Grand_Prix;7
116;2003;9;European Grand Prix;2003-06-29;\N;http://en.wikipedia.org/wiki/2003_European_Grand_Prix;20
117;2003;10;French Grand Prix;2003-07-06;\N;http://en.wikipedia.org/wiki/2003_French_Grand_Prix;8
118;2003;11;British Grand Prix;2003-07-20;\N;http://en.wikipedia.org/wiki/2003_British_Grand_Prix;9
119;2003;12;German Grand Prix;2003-08-03;\N;http://en.wikipedia.org/wiki/2003_German_Grand_Prix;10
120;2003;13;Hungarian Grand Prix;2003-08-24;\N;http://en.wikipedia.org/wiki/2003_Hungarian_Grand_Prix;11
121;2003;14;Italian Grand Prix;2003-09-14;\N;http://en.wikipedia.org/wiki/2003_Italian_Grand_Prix;14
122;2003;15;United States Grand Prix;2003-09-28;\N;http://en.wikipedia.org/wiki/2003_United_States_Grand_Prix;19
123;2003;16;Japanese Grand Prix;2003-10-12;\N;http://en.wikipedia.org/wiki/2003_Japanese_Grand_Prix;22
124;2002;1;Australian Grand Prix;2002-03-03;\N;http://en.wikipedia.org/wiki/2002_Australian_Grand_Prix;1
125;2002;2;Malaysian Grand Prix;2002-03-17;\N;http://en.wikipedia.org/wiki/2002_Malaysian_Grand_Prix;2
126;2002;3;Brazilian Grand Prix;2002-03-31;\N;http://en.wikipedia.org/wiki/2002_Brazilian_Grand_Prix;18
127;2002;4;San Marino Grand Prix;2002-04-14;\N;http://en.wikipedia.org/wiki/2002_San_Marino_Grand_Prix;21
128;2002;5;Spanish Grand Prix;2002-04-28;\N;http://en.wikipedia.org/wiki/2002_Spanish_Grand_Prix;4
129;2002;6;Austrian Grand Prix;2002-05-12;\N;http://en.wikipedia.org/wiki/2002_Austrian_Grand_Prix;70
130;2002;7;Monaco Grand Prix;2002-05-26;\N;http://en.wikipedia.org/wiki/2002_Monaco_Grand_Prix;6
131;2002;8;Canadian Grand Prix;2002-06-09;\N;http://en.wikipedia.org/wiki/2002_Canadian_Grand_Prix;7
132;2002;9;European Grand Prix;2002-06-23;\N;http://en.wikipedia.org/wiki/2002_European_Grand_Prix;20
133;2002;10;British Grand Prix;2002-07-07;\N;http://en.wikipedia.org/wiki/2002_British_Grand_Prix;9
134;2002;11;French Grand Prix;2002-07-21;\N;http://en.wikipedia.org/wiki/2002_French_Grand_Prix;8
135;2002;12;German Grand Prix;2002-07-28;\N;http://en.wikipedia.org/wiki/2002_German_Grand_Prix;10
136;2002;13;Hungarian Grand Prix;2002-08-18;\N;http://en.wikipedia.org/wiki/2002_Hungarian_Grand_Prix;11
137;2002;14;Belgian Grand Prix;2002-09-01;\N;http://en.wikipedia.org/wiki/2002_Belgian_Grand_Prix;13
138;2002;15;Italian Grand Prix;2002-09-15;\N;http://en.wikipedia.org/wiki/2002_Italian_Grand_Prix;14
139;2002;16;United States Grand Prix;2002-09-29;\N;http://en.wikipedia.org/wiki/2002_United_States_Grand_Prix;19
140;2002;17;Japanese Grand Prix;2002-10-13;\N;http://en.wikipedia.org/wiki/2002_Japanese_Grand_Prix;22
141;2001;1;Australian Grand Prix;2001-03-04;\N;http://en.wikipedia.org/wiki/2001_Australian_Grand_Prix;1
142;2001;2;Malaysian Grand Prix;2001-03-18;\N;http://en.wikipedia.org/wiki/2001_Malaysian_Grand_Prix;2
143;2001;3;Brazilian Grand Prix;2001-04-01;\N;http://en.wikipedia.org/wiki/2001_Brazilian_Grand_Prix;18
144;2001;4;San Marino Grand Prix;2001-04-15;\N;http://en.wikipedia.org/wiki/2001_San_Marino_Grand_Prix;21
145;2001;5;Spanish Grand Prix;2001-04-29;\N;http://en.wikipedia.org/wiki/2001_Spanish_Grand_Prix;4
146;2001;6;Austrian Grand Prix;2001-05-13;\N;http://en.wikipedia.org/wiki/2001_Austrian_Grand_Prix;70
147;2001;7;Monaco Grand Prix;2001-05-27;\N;http://en.wikipedia.org/wiki/2001_Monaco_Grand_Prix;6
148;2001;8;Canadian Grand Prix;2001-06-10;\N;http://en.wikipedia.org/wiki/2001_Canadian_Grand_Prix;7
149;2001;9;European Grand Prix;2001-06-24;\N;http://en.wikipedia.org/wiki/2001_European_Grand_Prix;20
150;2001;10;French Grand Prix;2001-07-01;\N;http://en.wikipedia.org/wiki/2001_French_Grand_Prix;8
151;2001;11;British Grand Prix;2001-07-15;\N;http://en.wikipedia.org/wiki/2001_British_Grand_Prix;9
152;2001;12;German Grand Prix;2001-07-29;\N;http://en.wikipedia.org/wiki/2001_German_Grand_Prix;10
153;2001;13;Hungarian Grand Prix;2001-08-19;\N;http://en.wikipedia.org/wiki/2001_Hungarian_Grand_Prix;11
154;2001;14;Belgian Grand Prix;2001-09-02;\N;http://en.wikipedia.org/wiki/2001_Belgian_Grand_Prix;13
155;2001;15;Italian Grand Prix;2001-09-16;\N;http://en.wikipedia.org/wiki/2001_Italian_Grand_Prix;14
156;2001;16;United States Grand Prix;2001-09-30;\N;http://en.wikipedia.org/wiki/2001_United_States_Grand_Prix;19
157;2001;17;Japanese Grand Prix;2001-10-14;\N;http://en.wikipedia.org/wiki/2001_Japanese_Grand_Prix;22
158;2000;1;Australian Grand Prix;2000-03-12;\N;http://en.wikipedia.org/wiki/2000_Australian_Grand_Prix;1
159;2000;2;Brazilian Grand Prix;2000-03-26;\N;http://en.wikipedia.org/wiki/2000_Brazilian_Grand_Prix;18
160;2000;3;San Marino Grand Prix;2000-04-09;\N;http://en.wikipedia.org/wiki/2000_San_Marino_Grand_Prix;21
161;2000;4;British Grand Prix;2000-04-23;\N;http://en.wikipedia.org/wiki/2000_British_Grand_Prix;9
162;2000;5;Spanish Grand Prix;2000-05-07;\N;http://en.wikipedia.org/wiki/2000_Spanish_Grand_Prix;4
163;2000;6;European Grand Prix;2000-05-21;\N;http://en.wikipedia.org/wiki/2000_European_Grand_Prix;20
164;2000;7;Monaco Grand Prix;2000-06-04;\N;http://en.wikipedia.org/wiki/2000_Monaco_Grand_Prix;6
165;2000;8;Canadian Grand Prix;2000-06-18;\N;http://en.wikipedia.org/wiki/2000_Canadian_Grand_Prix;7
166;2000;9;French Grand Prix;2000-07-02;\N;http://en.wikipedia.org/wiki/2000_French_Grand_Prix;8
167;2000;10;Austrian Grand Prix;2000-07-16;\N;http://en.wikipedia.org/wiki/2000_Austrian_Grand_Prix;70
168;2000;11;German Grand Prix;2000-07-30;\N;http://en.wikipedia.org/wiki/2000_German_Grand_Prix;10
169;2000;12;Hungarian Grand Prix;2000-08-13;\N;http://en.wikipedia.org/wiki/2000_Hungarian_Grand_Prix;11
170;2000;13;Belgian Grand Prix;2000-08-27;\N;http://en.wikipedia.org/wiki/2000_Belgian_Grand_Prix;13
171;2000;14;Italian Grand Prix;2000-09-10;\N;http://en.wikipedia.org/wiki/2000_Italian_Grand_Prix;14
172;2000;15;United States Grand Prix;2000-09-24;\N;http://en.wikipedia.org/wiki/2000_United_States_Grand_Prix;19
173;2000;16;Japanese Grand Prix;2000-10-08;\N;http://en.wikipedia.org/wiki/2000_Japanese_Grand_Prix;22
174;2000;17;Malaysian Grand Prix;2000-10-22;\N;http://en.wikipedia.org/wiki/2000_Malaysian_Grand_Prix;2
175;1999;1;Australian Grand Prix;1999-03-07;\N;http://en.wikipedia.org/wiki/1999_Australian_Grand_Prix;1
176;1999;2;Brazilian Grand Prix;1999-04-11;\N;http://en.wikipedia.org/wiki/1999_Brazilian_Grand_Prix;18
177;1999;3;San Marino Grand Prix;1999-05-02;\N;http://en.wikipedia.org/wiki/1999_San_Marino_Grand_Prix;21
178;1999;4;Monaco Grand Prix;1999-05-16;\N;http://en.wikipedia.org/wiki/1999_Monaco_Grand_Prix;6
179;1999;5;Spanish Grand Prix;1999-05-30;\N;http://en.wikipedia.org/wiki/1999_Spanish_Grand_Prix;4
180;1999;6;Canadian Grand Prix;1999-06-13;\N;http://en.wikipedia.org/wiki/1999_Canadian_Grand_Prix;7
181;1999;7;French Grand Prix;1999-06-27;\N;http://en.wikipedia.org/wiki/1999_French_Grand_Prix;8
182;1999;8;British Grand Prix;1999-07-11;\N;http://en.wikipedia.org/wiki/1999_British_Grand_Prix;9
183;1999;9;Austrian Grand Prix;1999-07-25;\N;http://en.wikipedia.org/wiki/1999_Austrian_Grand_Prix;70
184;1999;10;German Grand Prix;1999-08-01;\N;http://en.wikipedia.org/wiki/1999_German_Grand_Prix;10
185;1999;11;Hungarian Grand Prix;1999-08-15;\N;http://en.wikipedia.org/wiki/1999_Hungarian_Grand_Prix;11
186;1999;12;Belgian Grand Prix;1999-08-29;\N;http://en.wikipedia.org/wiki/1999_Belgian_Grand_Prix;13
187;1999;13;Italian Grand Prix;1999-09-12;\N;http://en.wikipedia.org/wiki/1999_Italian_Grand_Prix;14
188;1999;14;European Grand Prix;1999-09-26;\N;http://en.wikipedia.org/wiki/1999_European_Grand_Prix;20
189;1999;15;Malaysian Grand Prix;1999-10-17;\N;http://en.wikipedia.org/wiki/1999_Malaysian_Grand_Prix;2
190;1999;16;Japanese Grand Prix;1999-10-31;\N;http://en.wikipedia.org/wiki/1999_Japanese_Grand_Prix;22
191;1998;1;Australian Grand Prix;1998-03-08;\N;http://en.wikipedia.org/wiki/1998_Australian_Grand_Prix;1
192;1998;2;Brazilian Grand Prix;1998-03-29;\N;http://en.wikipedia.org/wiki/1998_Brazilian_Grand_Prix;18
193;1998;3;Argentine Grand Prix;1998-04-12;\N;http://en.wikipedia.org/wiki/1998_Argentine_Grand_Prix;25
194;1998;4;San Marino Grand Prix;1998-04-26;\N;http://en.wikipedia.org/wiki/1998_San_Marino_Grand_Prix;21
195;1998;5;Spanish Grand Prix;1998-05-10;\N;http://en.wikipedia.org/wiki/1998_Spanish_Grand_Prix;4
196;1998;6;Monaco Grand Prix;1998-05-24;\N;http://en.wikipedia.org/wiki/1998_Monaco_Grand_Prix;6
197;1998;7;Canadian Grand Prix;1998-06-07;\N;http://en.wikipedia.org/wiki/1998_Canadian_Grand_Prix;7
198;1998;8;French Grand Prix;1998-06-28;\N;http://en.wikipedia.org/wiki/1998_French_Grand_Prix;8
199;1998;9;British Grand Prix;1998-07-12;\N;http://en.wikipedia.org/wiki/1998_British_Grand_Prix;9
200;1998;10;Austrian Grand Prix;1998-07-26;\N;http://en.wikipedia.org/wiki/1998_Austrian_Grand_Prix;70
201;1998;11;German Grand Prix;1998-08-02;\N;http://en.wikipedia.org/wiki/1998_German_Grand_Prix;10
202;1998;12;Hungarian Grand Prix;1998-08-16;\N;http://en.wikipedia.org/wiki/1998_Hungarian_Grand_Prix;11
203;1998;13;Belgian Grand Prix;1998-08-30;\N;http://en.wikipedia.org/wiki/1998_Belgian_Grand_Prix;13
204;1998;14;Italian Grand Prix;1998-09-13;\N;http://en.wikipedia.org/wiki/1998_Italian_Grand_Prix;14
205;1998;15;Luxembourg Grand Prix;1998-09-27;\N;http://en.wikipedia.org/wiki/1998_Luxembourg_Grand_Prix;20
206;1998;16;Japanese Grand Prix;1998-11-01;\N;http://en.wikipedia.org/wiki/1998_Japanese_Grand_Prix;22
207;1997;1;Australian Grand Prix;1997-03-09;\N;http://en.wikipedia.org/wiki/1997_Australian_Grand_Prix;1
208;1997;2;Brazilian Grand Prix;1997-03-30;\N;http://en.wikipedia.org/wiki/1997_Brazilian_Grand_Prix;18
209;1997;3;Argentine Grand Prix;1997-04-13;\N;http://en.wikipedia.org/wiki/1997_Argentine_Grand_Prix;25
210;1997;4;San Marino Grand Prix;1997-04-27;\N;http://en.wikipedia.org/wiki/1997_San_Marino_Grand_Prix;21
211;1997;5;Monaco Grand Prix;1997-05-11;\N;http://en.wikipedia.org/wiki/1997_Monaco_Grand_Prix;6
212;1997;6;Spanish Grand Prix;1997-05-25;\N;http://en.wikipedia.org/wiki/1997_Spanish_Grand_Prix;4
213;1997;7;Canadian Grand Prix;1997-06-15;\N;http://en.wikipedia.org/wiki/1997_Canadian_Grand_Prix;7
214;1997;8;French Grand Prix;1997-06-29;\N;http://en.wikipedia.org/wiki/1997_French_Grand_Prix;8
215;1997;9;British Grand Prix;1997-07-13;\N;http://en.wikipedia.org/wiki/1997_British_Grand_Prix;9
216;1997;10;German Grand Prix;1997-07-27;\N;http://en.wikipedia.org/wiki/1997_German_Grand_Prix;10
217;1997;11;Hungarian Grand Prix;1997-08-10;\N;http://en.wikipedia.org/wiki/1997_Hungarian_Grand_Prix;11
218;1997;12;Belgian Grand Prix;1997-08-24;\N;http://en.wikipedia.org/wiki/1997_Belgian_Grand_Prix;13
219;1997;13;Italian Grand Prix;1997-09-07;\N;http://en.wikipedia.org/wiki/1997_Italian_Grand_Prix;14
220;1997;14;Austrian Grand Prix;1997-09-21;\N;http://en.wikipedia.org/wiki/1997_Austrian_Grand_Prix;70
221;1997;15;Luxembourg Grand Prix;1997-09-28;\N;http://en.wikipedia.org/wiki/1997_Luxembourg_Grand_Prix;20
222;1997;16;Japanese Grand Prix;1997-10-12;\N;http://en.wikipedia.org/wiki/1997_Japanese_Grand_Prix;22
223;1997;17;European Grand Prix;1997-10-26;\N;http://en.wikipedia.org/wiki/1997_European_Grand_Prix;26
224;1996;1;Australian Grand Prix;1996-03-10;\N;http://en.wikipedia.org/wiki/1996_Australian_Grand_Prix;1
